lcc-visiting-nurse	nurse	E		プロフィールを拝見し、看護師として臨床の現場で経験を積まれている点に注目しました。当ステーションは「東京都訪問看護教育ステーション」事業を受託しており、入社後約1ヶ月の同行訪問など、訪問看護という新たなフィールドでご経験を広げていただけます。
lcc-visiting-nurse	nurse	F	就業中	プロフィールを拝見し、看護師として現在も臨床の現場でご活躍されている点に注目しました。当ステーションは「東京都訪問看護教育ステーション」事業を受託しており、看護師としてのキャリアの幅を広げられる環境が整っています。
lcc-visiting-nurse	nurse	F	離職中	プロフィールを拝見し、当ステーションは「東京都訪問看護教育ステーション」事業を受託しており、入社後約1ヶ月の同行訪問など、訪問看護を基礎から学べる環境が整っています。
lcc-visiting-nurse	nurse	G		プロフィールを拝見し、これからのキャリアを検討されているとのこと、当ステーションは「東京都訪問看護教育ステーション」事業を受託しており、入社後約1ヶ月の同行訪問など、訪問看護を基礎から学べる環境が整っています。
lcc-visiting-nurse	rehab	A		プロフィールを拝見し、{職種名}として10年以上のリハビリの臨床経験をお持ちである点にとても魅力を感じました。豊富な経験で培われた専門スキルは、{特色}当ステーションにおいて、大きな力になると考えています。	脳血管から小児まで幅広い疾患に対応する|多職種が連携して利用者様を支える|都心4拠点で多様な利用者様に対応する
lcc-visiting-nurse	rehab	B1		プロフィールを拝見し、{職種名}として{N}年以上のリハビリ経験をお持ちである点に注目しました。臨床で培われた確かなスキルは、{特色}当ステーションで存分に活かしていただけると考えています。	幅広い疾患のリハビリに対応する|看護師やPT・OT・STが連携する|都心で多様な利用者様に対応する
lcc-visiting-nurse	rehab	B2		プロフィールを拝見し、{職種名}として{N}年のリハビリ経験をお持ちとのこと、臨床で培われたスキルは、{特色}当ステーションで活かしていただけると考えています。	脳血管・難病・小児など幅広いリハビリに対応する|多職種がチームで利用者様を支える|都心4拠点で多様なニーズに応える
lcc-visiting-nurse	rehab	C		プロフィールを拝見し、{職種名}として臨床のご経験をお持ちとのこと、{特色}当ステーションで、そのご経験を活かしていただけるのではないかと考えご連絡しました。	幅広い疾患のリハビリに対応する|多職種が連携して利用者様を支える|都心で多様な利用者様に対応する
lcc-visiting-nurse	rehab	D	就業中	プロフィールを拝見し、{職種名}として現在もリハビリの現場でご活躍されている点に注目しました。{特色}当ステーションで、これまでのご経験を活かしていただけると考えています。	脳血管から小児まで幅広い疾患に対応する|多職種が連携して利用者様を支える|都心4拠点で多様な利用者様に対応する
lcc-visiting-nurse	rehab	D	離職中	プロフィールを拝見し、{職種名}としてのこれまでのご経験に注目しました。{特色}当ステーションで、そのご経験を活かしていただける場面が多いと考えています。	脳血管から小児まで幅広い疾患に対応する|多職種が連携して利用者様を支える|都心4拠点で多様な利用者様に対応する
lcc-visiting-nurse	rehab	E		プロフィールを拝見し、{職種名}としてリハビリの現場で経験を積まれている点に注目しました。当ステーションでは入社後約1ヶ月の同行訪問があり、訪問リハビリという新たなフィールドでご経験を広げていただけます。
lcc-visiting-nurse	rehab	F	就業中	プロフィールを拝見し、{職種名}として現在もリハビリの現場でご活躍されている点に注目しました。当ステーションでは入社後約1ヶ月の同行訪問があり、{職種名}としてのキャリアの幅を広げられる環境が整っています。
lcc-visiting-nurse	rehab	F	離職中	プロフィールを拝見し、当ステーションでは入社後約1ヶ月の同行訪問があり、訪問リハビリを基礎から学べる環境が整っています。
lcc-visiting-nurse	rehab	G		プロフィールを拝見し、これからのキャリアを検討されているとのこと、当ステーションでは入社後約1ヶ月の同行訪問があり、訪問リハビリを基礎から学べる環境が整っています。
lcc-visiting-nurse	medical_office	A		プロフィールを拝見し、10年以上の事務職でのご経験をお持ちである点にとても魅力を感じました。豊富な実務経験で培われた正確さと段取り力は、都心4拠点を展開する当ステーションの運営を支えるうえで、大きな力になると考えています。
lcc-visiting-nurse	medical_office	B1		プロフィールを拝見し、{N}年以上の事務経験をお持ちである点に注目しました。実務で培われた確かなスキルは、レセプト業務を中心に多職種と連携する当ステーションで存分に活かしていただけると考えています。
lcc-visiting-nurse	medical_office	B2		プロフィールを拝見し、{N}年の事務経験をお持ちとのこと、実務で培われたスキルは、都心4拠点の運営基盤を支える当ステーションの事務部門で活かしていただけると考えています。
lcc-visiting-nurse	medical_office	C		プロフィールを拝見し、事務職でのご経験をお持ちとのこと、当ステーションの事務部門で、そのご経験を活かしていただけるのではないかと考えご連絡しました。
lcc-visiting-nurse	medical_office	D	就業中	プロフィールを拝見し、現在も事務の現場でご活躍されている点に注目しました。都心4拠点を展開する当ステーションの運営を支える事務部門で、これまでのご経験を活かしていただけると考えています。
lcc-visiting-nurse	medical_office	D	離職中	プロフィールを拝見し、これまでの事務職でのご経験に注目しました。都心4拠点を展開する当ステーションの運営を支える事務部門で、そのご経験を活かしていただける場面が多いと考えています。
lcc-visiting-nurse	medical_office	E		プロフィールを拝見し、事務の現場で経験を積まれている点に注目しました。当ステーションでは研修制度（e-learning）が整っており、医療事務という新たなフィールドでご経験を広げていただけます。
lcc-visiting-nurse	medical_office	F	就業中	プロフィールを拝見し、現在も事務の現場でご活躍されている点に注目しました。当ステーションでは研修制度（e-learning）が整っており、事務職としてのキャリアの幅を広げられる環境があります。
lcc-visiting-nurse	medical_office	F	離職中	プロフィールを拝見し、事務の経験をお持ちとのこと、当ステーションでは研修制度（e-learning）が整っており、医療事務を基礎から学べる環境があります。
